,embed,bias
0,rt nowthisnews rep trey radel r fl slams obamacare politicstrey radel treyradel 2,1.0
1,video obamacare full of higher costs and broken promises sen mcconnell press mcconnellpress 201,1.0
2,please join me today in remembering our fallen heroes and honoring the men and women currently in military service for their sacrifices rep kurt schrader repschrader,0.0
3,rt senatorleahy 1st step toward senate debate on leahy crapo vawa bill is the senate s procedural vote today at 5 30 pmsenator mike crapo mikecrapo 201,0.0
4, amazon delivery drones show need to update law to promote innovation amp protect privacy my uas bill does that mark udall markudall 201,1.0
5,called on the usdotfra to release info about inspections before the casseltonderailment to review quality of rails 1 2 sen heidi heitkamp senatorheitkamp,1.0
6, bbcworld help us keep the kidnapped nigerian school girls story out front bringbackourgirls joinrepwilsonfrederica wilson repwilson,0.0
7,show your arizona pride choose your favorite s az picture for my facebook cover photo retweet to spread the word repronbarber repronbarber,0.0
8,what a wonderful night at state senator ken yager s chili supper benefitting the boys amp girls clubs of roane county chuck fleischmann repchuck 2,0.0
9,great op ed by pres clinton about signing fmla 20 yrs ago today an important law protecting workers hoyerheadlinessteny hoyer whiphoyer,1.0
10,as potus golfs pushes amnesty amp ignores keystone american people are concerned about jobs econ amp health care costsjohn fleming repfleming 201,1.0
11,the president doesn t get to just decide he doesn t like congress and do his own thing adam kinzinger repkinzinger 2,1.0
12,fact the recovery act cut taxes for middle class families kept teachers in the classroom amp police amp firefighters on the streets senator tom carper senatorcarper 2014 ,0.0
13,rt mha telemedicine consults at rural ers helps prevent prescription errors via genevrapittman for medcitynews gregg harper greggharper 2,0.0
14, skitchp wouldn t wish that on anyone even you skitch john dingell john_dingell,0.0
15,at 5 45pm sen corybooker will give his maiden senate speech on need to renewui such an impt issue follow senbookerofc for livetweets kirsten gillibrand sengillibrand 2,1.0
16, if you have come because your liberation is bound up with mine then let us work together lilla watsoncory booker corybooker,0.0
17,for health coverage starting jan 1st you must sign up for accesshealthct by end of today getenrolledelizabeth esty repesty 2,0.0
18,the house will vote this week to defundobamacare and keep the government open eric cantor gopleader,0.0
19,tks to margaret 4 joining me in dc to share successes niskayuna ncap saw in education amp prevention of substance abusepaul tonko reppaultonko 2,1.0
20,a great look back at at idaho native american tribes in 1863 idpol idaho150 via ktvbsenator mike crapo mikecrapo,0.0
21, otd in 1969 american astronaut neil armstrong stepped off the lunar landing module eagle and walked on the surface of the moonsenator hatch office senorrinhatch,0.0
22,rt if you agree it s time to actonclimate change more info on the nca2014 released today atniki tsongas nikiinthehouse 2,0.0
23,we will vote on the working families flexibility act would you like the flexibility to choose how you re comp d for overtime yourtimekerry bentivolio repkerryb,0.0
24,reminder next week my office will be holding mobile office hours in sachse and wylie learn more tx32pete sessions petesessions 201,0.0
25,this wk s 1 min video is on how expanding medicaid in wv will help so many families get affordable health care jay rockefeller senrockefeller,1.0
26,thinking of all those affected by the severe weather today especially in oklahoma stay safe rep steve womack rep_stevewomack,0.0
27,remember bill he and his friends are stuck on senatorreid s desk 4jobsrep randy hultgren rephultgren,1.0
28,slashing amtrak s funding by 1 3 at a time of increasing ridership will hurt pa s economy senator bob casey senbobcasey,1.0
29,american energy production is creating jobs holding prices down and promoting energy independence steve daines stevedaines 2,0.0
30, obamacare spawning a new concept medical homelessness john fleming repfleming 2,1.0
31,must read from marcthiessen kidnapped libyan prime minister pays the price for an obama leak tom price reptomprice,1.0
32,delaying or refusing to vote to renewui has real life consequences for 2 8 million americans sandy levin repsandylevin,1.0
33,in his office in the uscapitol senator mcconnell congratulated amp welcomed senator elect bill cassidy to the senatesen mcconnell press mcconnellpress 2,1.0
34, houseofcards if you don t like long island wine i suggest giving flxwinecountry or niagwinetrail wines a try rep chris collins repchriscollins,0.0
35, six enrolled on health site on day 1 via politico trainwreckrep martha roby repmartharoby,0.0
36, 10m in federal funds will help relieve congestion around ftmeademd more dutch ruppersberger call_me_dutch 2,0.0
37,job well done by the members of the sc house of representatives who voted down medicaid expansion yesterday scnewslindsey graham grahamblog,1.0
38,gearing up for coffee w constituents this morning at d amp k s gretna cafe at 8 30 be sure to stop by looking forward to speaking w folks rep lee terry leeterryne 201,0.0
39, askgeorge has been a dedicated public servant amp his leadership on edworkforcedems will be missed i wish him the best in retirement tim bishop timbishopny 2,0.0
40, florida is tale of what went right with president barack obama s health care overhaul despite gop opposition d wasserman schultz dwstweets 2,1.0
41,if you are in dc tomorrow amp want to makegovernmentwork join us problemsolvers in showing america that some of us are here to fixnotfightrep kurt schrader repschrader 2,0.0
42,fl delegation shining spotlight on va health care in sunshine staterep vern buchanan vernbuchanan,0.0
43,meeting the press in jerusalem with grahamblog israeljohn mccain senjohnmccain,0.0
44,video of my speech on house floor rejecting gopbudget that cuts jobs in wi and turns medicare into a voucheru s rep mark pocan repmarkpocan,1.0
45,what other options are there for raising 350 billion with such a negligible impact on middle class americans and main street businesses tom harkin senatorharkin,1.0
46,thanks to li farm bureau for hosting me to speak directly with farmers about issues most important to themtim bishop timbishopny,0.0
47,for 23 years the americans with disabilities act has been opening doors for tens of millions of americans steny hoyer whiphoyer,0.0
48,is that delight or terror mt lyndawoolard can u see my delight when cory taught me how 2 take a selfie in yesterday cory booker corybooker,0.0
49,rt aaas_news basic science is a riskier investment compared with applied research but one with larger potential payoffs opedchaka fattah chakafattah 2,0.0
50,promising fanniemae is paying back more to us taxpayers reinforces 5 yrs after crash we need gsereform to help prevent another bailoutsen heidi heitkamp senatorheitkamp,0.0
51, kxl oil export strategy makes us a middle man amp worsens climatechange senate shld reject ited markey markeymemo 2,1.0
52,wtvw tv report mcconnell sponsors sunscreen innovation act playlist kentuckysen mcconnell press mcconnellpress 201,1.0
53,we need to work together to find real solutions to fixthedebt before thecankicksbackrep patrick murphy repmurphyfl,0.0
54,congrats to the coleg last day of session rep cory gardner repcorygardner,0.0
55,demandar obama un recuento en venezuela creo q deber _a lee mi carta y tweet whitehouse para decirle lo q piensasileana ros lehtinen roslehtinen,1.0
